"data","images","_id","propertyType","listDate","listNumber","mlsStatus","listingAgentID","listingOfficeID","listPrice","bedrooms","bathsFull","bathsPartial","totalBaths","streetNumber","streetName","city","state","zipcode","county","latitude","longitude","history","tract","opZone","__v","lastSold","rents","schoolDistrict","lotSize","buildingSize","totalRooms","zoning","ownerOcc","lotBlock"
"{""county"":{""ran"":true,""success"":false,""errorRes"":""does not match county req""},""idx"":{""ran"":true,""add"":""success"",""success"":true},""walkScore"":{""ran"":false},""census"":{""ran"":true,""success"":true},""rents"":{""HA"":{""ran"":true,""success"":false,""errorRes"":""listing does not match county req""}}}","[""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/2c8e/e8c23b68296d7c87c2469c09bb5bf651/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/49c8/8c94263da3f9bae3f7fb69f185a85983/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/0f4a/a4f0d4087d090415c610310014a78fc4/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/d40c/c04d389562bf93eed681148e976499dd/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/cb18/81bc09be18b289baeba412d4c0bce42e/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/028d/d8205ccb6ee53642609abc8a313ba76a/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/7a3a/a3a7f5bb6a271649ae986f28e8056858/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/07dc/cd70c16c5d77bbd0cc0d435f1ed22b98/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/d7a8/8a7d90e465756fce97d707005aa96b74/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/5111/1115d29fd44de76a5cb62d4378642769/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/2c6e/e6c23248aacdf45f5ca88f189dd067a4/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/1dbd/dbd15e8033a1e0e798f4b14829b92bf1/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/1907/709125ecf11d5b5ab190a863e389b0e2/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/300e/e0038189685d6b801a22ecb312c1c204/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/2a29/92a2cb1f5cf2f1c741fb745552cd1dbf/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/58c3/3c85ff72335e5bc985dcb1d1b8bfcdbf/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/6319/9136f3579606853dbaab50bff06bb458/d504"",null]","5f745e2a1c38510017fec34b","res","2020-09-29T05:00:00.000Z","1470566","A","222443","26901",15000,2,1,1,2,"422","Highland Ave","15001","Pennsylvania","15001","Beaver",40.635986,-80.245835,"[]","6057",true,0,,,,,,,,,
"{""county"":{""ran"":true,""success"":true},""idx"":{""ran"":true,""add"":""success"",""success"":true},""walkScore"":{""ran"":false},""census"":{""ran"":true,""success"":true},""rents"":{""HA"":{""ran"":true,""success"":true}}}","[""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/6ea8/8ae6a677d7dfb7e75e9bc3a6fa3816b1/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/90bc/cb09225c814b4bfd6776d4071ab547c1/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/26b8/8b62909d71fbd36aff912214a24a7f53/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/df06/60fd6f4c83fd2f0b505753b05979b1a3/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/ccb0/0bcc6fe808f1d870b674481aa847c81d/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/5829/928575337c711003b0998da1b9c0dd40/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/159b/b951977d0cd71922a256d45828bc0143/d504"",""https://s3.amazonaws.com/mlsphotos.idxbroker.com/photos/bbeb/bebbe718974eb78be416cd096befa713/d504"",null]","5f745e2a1c38510017fec34a","res","2020-09-29T05:00:00.000Z","1470542","A","217212","31603",25000,3,1,0,1,"206","MCKEE","TARENTUM","Pennsylvania","15084","Allegheny-North",40.601021,-79.752505,"[]","4035",true,0,"{""date"":""03-12-1986"",""price"":25000}","{""HA"":{""tier"":""2"",""rent"":1080}}","Highlands",2100,"1140","5","SINGLE FAMILY",true,"1223S00076000000"
